Accession ID	Virus name	Location
EPI_ISL_404228	BetaCoV/Zhejiang/WZ-02/2020	Asia / China / Zhejiang
EPI_ISL_404895	BetaCoV/USA/WA1/2020	North America / USA / Washington / Snohomish County
EPI_ISL_407079	BetaCoV/Finland/1/2020	Europe / Finland / Lapland
EPI_ISL_405839	BetaCoV/Shenzhen/HKU-SZ-005/2020	Asia / China / Guangdong / Shenzhen
EPI_ISL_406030	BetaCoV/Shenzhen/HKU-SZ-002/2020	Asia / China / Guangdong / Shenzhen
EPI_ISL_404253	BetaCoV/USA/IL1/2020	North America / USA / Illinois / Chicago
EPI_ISL_406034	BetaCoV/USA/CA1/2020	North America / USA / California / Los Angeles
EPI_ISL_406036	BetaCoV/USA/CA2/2020	North America / USA / California / Orange County
EPI_ISL_406223	BetaCoV/USA/AZ1/2020	North America / USA / Arizona / Phoenix
EPI_ISL_406531	BetaCoV/Guangdong/20SF174/2020	Asia / China / Guangdong / Zhuhai
EPI_ISL_406533	BetaCoV/Guangzhou/20SF206/2020	Asia / China / Guangdong / Guangzhou
EPI_ISL_406534	BetaCoV/Foshan/20SF207/2020	Asia / China / Guangdong / Foshan
EPI_ISL_406535	BetaCoV/Foshan/20SF210/2020	Asia / China / Guangdong / Foshan
EPI_ISL_406536	BetaCoV/Foshan/20SF211/2020	Asia / China / Guangdong / Foshan
EPI_ISL_406538	BetaCoV/Guangdong/20SF201/2020	Asia / China / Guangdong
EPI_ISL_406592	BetaCoV/Shenzhen/SZTH-001/2020	Asia / China / Guandong / Shenzhen
EPI_ISL_406593	BetaCoV/Shenzhen/SZTH-002/2020	Asia / China / Guandong / Shenzhen
EPI_ISL_406594	BetaCoV/Shenzhen/SZTH-003/2020	Asia / China / Guandong / Shenzhen
EPI_ISL_406597	BetaCoV/France/IDF0373/2020	Europe / France / Ile-de-France / Paris
EPI_ISL_406596	BetaCoV/France/IDF0372/2020	Europe / France / Ile-de-France / Paris
EPI_ISL_406862	BetaCoV/Germany/BavPat1/2020	Europe / Germany / Bavaria / Munich
EPI_ISL_406844	BetaCoV/Australia/VIC01/2020	Oceania / Australia / Victoria / Clayton
EPI_ISL_406716	BetaCoV/China/WHU01/2020	Asia / China / Hubei / Wuhan
EPI_ISL_406717	BetaCoV/China/WHU02/2020	Asia / China / Hubei / Wuhan
EPI_ISL_406798	BetaCov/Wuhan/WH01/2019	Asia / China / Hubei / Wuhan
EPI_ISL_406800	BetaCov/Wuhan/WH03/2020	Asia / China / Hubei / Wuhan
